SKU ID,SKU Subdivision,SKU Region,SKU Province,Farm ID,Farm Province,Farm Latitude,Farm Longitude
3005,Spinach,Miền Bắc,T. Cao Bằng,DC03,HẢI DƯƠNG,20.902447,106.439247
3005,Spinach,Miền Bắc,T. Hà Giang,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Bắc,T. Hà Nam,DC06,NGHỆ AN,18.829766,105.661935
3005,Spinach,Miền Bắc,T. Hà Tĩnh,DC06,NGHỆ AN,18.829766,105.661935
3005,Spinach,Miền Bắc,T. Hòa Bình,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Bắc,T. Hưng Yên,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Bắc,T. Hải Dương,DC03,HẢI DƯƠNG,20.902447,106.439247
3005,Spinach,Miền Bắc,T. Lai Châu,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Bắc,T. Lào Cai,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Bắc,T. Lạng Sơn,DC03,HẢI DƯƠNG,20.902447,106.439247
3005,Spinach,Miền Bắc,T. Nam Định,DC06,NGHỆ AN,18.829766,105.661935
3005,Spinach,Miền Bắc,T. Nghệ An,DC06,NGHỆ AN,18.829766,105.661935
3005,Spinach,Miền Bắc,T. Ninh Bình,DC06,NGHỆ AN,18.829766,105.661935
3005,Spinach,Miền Bắc,T. Phú Thọ,DC01,HƯNG YÊN,20.914679,106.075413
3011,Spinach,Miền Tây,T. Đồng Tháp,DC02,CẦN THƠ,10.001594,105.774215
3005,Spinach,Miền Bắc,T. Quảng Ninh,DC04,,,
3005,Spinach,Miền Bắc,T. Sơn La,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Bắc,T. Thanh Hóa,DC06,NGHỆ AN,18.829766,105.661935
3005,Spinach,Miền Bắc,T. Thái Bình,DC04,,,
3005,Spinach,Miền Bắc,T. Thái Nguyên,DC03,HẢI DƯƠNG,20.902447,106.439247
3005,Spinach,Miền Bắc,T. Tuyên Quang,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Bắc,T. Vĩnh Phúc,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Bắc,T. Yên Bái,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Bắc,T. Điện Biên,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Bắc,TP. Hà Nội,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Bắc,TP. Hải Phòng,DC04,,,
3014,Spinach,HCM,TP. Hồ Chí Minh,DC08,HỒ CHÍ MINH,10.806908,106.607708
3014,Spinach,Miền Bắc,T. Hà Tĩnh,DC06,NGHỆ AN,18.829766,105.661935
3014,Spinach,Miền Bắc,T. Nghệ An,DC06,NGHỆ AN,18.829766,105.661935
3014,Spinach,Miền Bắc,T. Thanh Hóa,DC06,NGHỆ AN,18.829766,105.661935
3014,Spinach,Miền Bắc,T. Hà Nam,DC06,NGHỆ AN,18.829766,105.661935
3014,Spinach,Miền Bắc,T. Hưng Yên,DC01,HƯNG YÊN,20.914679,106.075413
3014,Spinach,Miền Bắc,T. Hải Dương,DC03,HẢI DƯƠNG,20.902447,106.439247
3014,Spinach,Miền Bắc,T. Nam Định,DC06,NGHỆ AN,18.829766,105.661935
3014,Spinach,Miền Bắc,T. Ninh Bình,DC06,NGHỆ AN,18.829766,105.661935
3014,Spinach,Miền Bắc,T. Thái Bình,DC04,,,
3014,Spinach,Miền Bắc,TP. Hà Nội,DC01,HƯNG YÊN,20.914679,106.075413
3014,Spinach,Miền Bắc,TP. Hải Phòng,DC04,,,
3014,Spinach,Miền Bắc,T. Bắc Giang,DC03,HẢI DƯƠNG,20.902447,106.439247
3014,Spinach,Miền Bắc,T. Bắc Kạn,DC03,HẢI DƯƠNG,20.902447,106.439247
3014,Spinach,Miền Bắc,T. Bắc Ninh,DC03,HẢI DƯƠNG,20.902447,106.439247
